time,V1,V2,V3,V4,V5,V6,V7,V8,V9
0,0,0,0,0,0,0,0,0,0
0.5,14,14,15,14,17,14,14,14,15
1,27,26,26,26,28,27,26,27,28
1.5,35,36,37,35,39,38,35,41,39
2,41,43,41,41,47,47,41,48,50
2.5,46,49,52,46,55,55,46,57,59
3,50,54,57,50,61,61,50,63,67
3.5,52,57,61,52,66,66,52,69,74
4,54,60,65,54,70,70,54,74,80
4.5,56,62,68,56,73,73,56,78,85
5,57,64,71,57,76,76,57,82,90
5.5,58,66,73,58,79,79,58,85,94
6,59,67,74,59,81,81,59,87,97
6.5,59,68,75,59,83,83,59,89,100
7,59,68,76,59,84,84,59,90,103
7.5,60,69,77,60,86,85,60,92,104
8,60,69,76,60,85,85,60,92,106
8.5,60,70,77,60,86,86,60,93,107
9,60,70,77,60,86,87,60,95,109
9.5,60,70,78,60,87,87,60,95,110
10,60,70,78,60,88,88,60,96,112
10.5,60,70,79,60,88,88,60,97,113
11,60,70,79,60,88,88,60,97,114
11.5,60,70,79,60,89,89,60,98,113
12,60,70,80,60,89,89,60,100,115
